logged_at_utc,sport,market_type,series_ticker,market_ticker,event_ticker,title,team_codes,yes_bid_cents,yes_ask_cents,last_price_cents,volume,open_interest,status
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27CARCLE-CLE,KXNFLGAME-26SEP27CARCLE,Cleveland wins,"CAR,CLE",42,43,43,30150,27439,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27CARCLE-CAR,KXNFLGAME-26SEP27CARCLE,Carolina wins,"CAR,CLE",57,58,58,140321,127068,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27CINPIT-PIT,KXNFLGAME-26SEP27CINPIT,Pittsburgh wins,"CIN,PIT",37,38,38,76690,65922,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27CINPIT-CIN,KXNFLGAME-26SEP27CINPIT,Cincinnati wins,"CIN,PIT",62,63,63,219003,209717,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27HOUIND-IND,KXNFLGAME-26SEP27HOUIND,Indianapolis wins,"HOU,IND",46,47,47,75154,68511,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27HOUIND-HOU,KXNFLGAME-26SEP27HOUIND,Houston wins,"HOU,IND",54,55,55,70911,64082,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27KCMIA-MIA,KXNFLGAME-26SEP27KCMIA,Miami wins,"KC,MIA",14,15,15,312181,248641,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27KCMIA-KC,KXNFLGAME-26SEP27KCMIA,Kansas City wins,"KC,MIA",85,86,86,897134,751979,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27LACBUF-BUF,KXNFLGAME-26SEP27LACBUF,Buffalo wins,"LAC,BUF",75,76,76,249429,209993,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27LACBUF-LAC,KXNFLGAME-26SEP27LACBUF,Los Angeles C wins,"LAC,BUF",24,25,25,150534,123854,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27NEJAC-JAC,KXNFLGAME-26SEP27NEJAC,Jacksonville wins,NEJA,59,60,60,78588,72202,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27NEJAC-NE,KXNFLGAME-26SEP27NEJAC,New England wins,NEJA,40,41,41,187257,175633,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27NYJDET-DET,KXNFLGAME-26SEP27NYJDET,Detroit wins,"NYJ,DET",72,73,73,67101,61258,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27NYJDET-NYJ,KXNFLGAME-26SEP27NYJDET,New York J wins,"NYJ,DET",27,28,28,110480,94896,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27SEAWAS-WAS,KXNFLGAME-26SEP27SEAWAS,Washington wins,"SEA,WAS",24,25,25,89059,76689,active
2026-09-25T17:56:48.267798+00:00,nfl,game,KXNFLGAME,KXNFLGAME-26SEP27SEAWAS-SEA,KXNFLGAME-26SEP27SEAWAS,Seattle wins,"SEA,WAS",76,77,77,466936,372711,active
